Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1767869959,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1767869960,2,,Aggregated,0.000000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.462125010672025,30.462125010672025,30.462125010672025,30.462125010672025,105.0
1767869961,4,,Aggregated,0.000000,0.000000,840,840,850,850,850,850,850,850,850,850,850,4,0,410.0,531.1148442524427,30.462125010672025,847.2297090047505,314.25
1767869962,6,,Aggregated,0.000000,0.000000,44,410,840,840,850,850,850,850,850,850,850,7,0,44,314.0772205723416,14.7748750023311,847.2297090047505,213.85714285714286
1767869963,8,,Aggregated,0.500000,0.000000,44,280,410,410,840,850,850,850,850,850,850,12,1,30,237.22050708359652,3.527207998558879,847.2297090047505,159.91666666666666
1767869964,10,,Aggregated,0.500000,0.000000,37,280,330,410,840,850,850,850,850,850,850,14,1,30,207.14728285591784,3.527207998558879,847.2297090047505,152.07142857142858
1767869965,10,,Aggregated,2.000000,0.000000,30,44,330,330,840,850,850,850,850,850,850,16,1,29,182.84497406148148,3.527207998558879,847.2297090047505,146.1875
1767869966,10,,Aggregated,2.000000,0.000000,16,37,280,330,840,850,850,850,850,850,850,19,1,16,156.20421721005664,3.527207998558879,847.2297090047505,139.68421052631578
1767869967,10,,Aggregated,2.500000,0.166667,16,30,44,280,410,840,850,850,850,850,850,22,1,16,137.00036754545926,3.527207998558879,847.2297090047505,134.95454545454547
1767869968,10,,Aggregated,2.714286,0.142857,16,30,39,44,410,840,850,850,850,850,850,27,1,16,115.63546614855079,3.207415997167118,847.2297090047505,126.62962962962963
1767869969,10,,Aggregated,2.625000,0.125000,16,30,37,44,410,840,850,850,850,850,850,29,1,16,108.30428600080455,3.207415997167118,847.2297090047505,122.55172413793103
1767869970,10,,Aggregated,2.666667,0.111111,16,20,34,39,330,840,850,850,850,850,850,33,1,16,96.76634221316569,3.207415997167118,847.2297090047505,118.15151515151516
1767869971,10,,Aggregated,2.666667,0.111111,16,16,34,37,330,840,850,850,850,850,850,36,1,16,89.01898386223668,3.207415997167118,847.2297090047505,110.80555555555556
1767869972,10,,Aggregated,2.800000,0.100000,16,16,30,37,330,840,850,850,850,850,850,38,1,15,85.04868644836517,3.207415997167118,847.2297090047505,110.5
1767869973,10,,Aggregated,3.500000,0.100000,15,16,29,34,280,410,850,850,850,850,850,41,1,15,79.66711387860236,3.207415997167118,847.2297090047505,108.26829268292683
1767869974,10,,Aggregated,3.500000,0.100000,16,16,34,39,330,410,850,850,850,850,850,44,1,15,85.12989209173776,3.207415997167118,847.2297090047505,127.06818181818181
1767869975,10,,Aggregated,3.200000,0.100000,15,16,30,37,330,410,850,850,850,850,850,47,1,15,80.20796814990389,3.207415997167118,847.2297090047505,122.46808510638297
1767869976,10,,Aggregated,3.000000,0.000000,15,16,29,34,280,410,840,850,850,850,850,51,1,15,75.07679825585892,3.207415997167118,847.2297090047505,121.09803921568627
1767869977,10,,Aggregated,3.100000,0.000000,15,16,22,34,280,410,840,850,850,850,850,55,1,15,70.48818036458793,3.207415997167118,847.2297090047505,115.83636363636364
1767869978,10,,Aggregated,3.100000,0.000000,16,16,29,37,330,410,840,850,850,850,850,59,2,16,74.89000006837344,3.207415997167118,847.2297090047505,117.16949152542372
1767869979,10,,Aggregated,3.300000,0.000000,15,16,22,34,280,390,840,850,850,850,850,62,2,15,71.79378703280705,3.207415997167118,847.2297090047505,115.37096774193549
1767869980,10,,Aggregated,3.300000,0.000000,15,16,22,34,280,390,840,850,850,850,850,64,2,15,69.99630734412676,3.207415997167118,847.2297090047505,115.046875
1767869981,10,,Aggregated,3.200000,0.100000,16,16,30,44,380,410,840,850,850,850,850,69,2,16,85.00893302919829,3.207415997167118,847.2297090047505,126.44927536231884
1767869982,10,,Aggregated,3.500000,0.100000,16,16,30,39,380,410,840,850,850,850,850,71,2,16,83.04832518325371,3.207415997167118,847.2297090047505,125.84507042253522
1767869983,10,,Aggregated,3.500000,0.100000,15,16,29,39,380,410,840,850,850,850,850,74,2,15,80.22508395967904,3.207415997167118,847.2297090047505,125.0
1767869984,10,,Aggregated,3.200000,0.100000,15,16,22,37,380,410,840,850,850,850,850,77,2,15,77.65862506522507,3.207415997167118,847.2297090047505,124.22077922077922
1767869985,10,,Aggregated,3.400000,0.100000,15,16,29,34,330,400,840,850,850,850,850,81,2,15,75.04082208658845,3.207415997167118,847.2297090047505,122.34567901234568
1767869986,10,,Aggregated,3.100000,0.100000,16,16,22,34,330,400,840,850,850,850,850,85,2,16,72.33179467079668,3.207415997167118,847.2297090047505,121.52941176470588
1767869987,10,,Aggregated,3.300000,0.100000,16,16,22,34,370,400,840,850,850,850,850,89,2,16,73.74730669671612,3.207415997167118,847.2297090047505,130.19101123595505
1767869988,10,,Aggregated,3.300000,0.100000,16,16,22,33,330,400,840,850,850,850,850,92,2,16,71.85452179360057,3.207415997167118,847.2297090047505,129.3695652173913
1767869989,10,,Aggregated,3.200000,0.100000,16,16,22,33,330,400,840,850,850,850,850,95,2,16,69.82332067380317,2.7487500046845526,847.2297090047505,127.02105263157895
1767869990,10,,Aggregated,3.400000,0.000000,16,17,22,34,370,400,840,850,850,850,850,100,3,16,72.01912507036468,2.7487500046845526,847.2297090047505,126.39
